year,metal,transition_value_usd
2021,Chromium,174919699.96597737
2021,Cobalt,137285444.7500945
2021,Lead,122234439.41833426
2021,Lithium,66241470.4521304
2021,Molybdenum,9074069.046540849
2021,Nickel,145134594.00624436
2021,PGM,1635220434.9729185
2021,RareEarth,37603123.95171741
2022,Chromium,73941443.7621521
2022,Lead,7557118.430534077
2022,Manganese,14976173.541061005
2022,Nickel,2589343539.6195
2022,PGM,816419644.820497
2022,RareEarth,668577478.0810248
2022,Vanadium,85664554.6600366
2022,Zinc,558159914.7183514
2023,Aluminium,645737802.9638991
2023,Chromium,51200001.7415854
2023,Graphite,38199014.44642814
2023,Nickel,2917870032.5631995
2024,Cobalt,103427847.03895856
2024,Copper,269932602.4323919
2024,Manganese,55447829.62587814
2024,Nickel,2230522842.5526514
2024,PGM,127958082.41821456
2024,RareEarth,1324250214.950853
2024,Titanium,15245039.814
