year,top_chokepoint,transfer_shift_usd
2021,BabAlMandeb,207103208.5758107
2021,Dover,596670155.0277503
2021,Gibraltar,52773831.17757226
2021,GoodHope,18152376.457547303
2021,Hormuz,8052366.772005393
2021,Malacca,531357237.2413344
2021,Panama,976731759.7877966
2021,Suez,147858547.79795516
2022,BabAlMandeb,55514163.63567498
2022,Dover,1437336799.6055095
2022,Gibraltar,336788888.7838091
2022,GoodHope,5038686.290909173
2022,Hormuz,7594250.96071109
2022,Malacca,2342434169.4701395
2022,Panama,536370839.873006
2022,Suez,61245169.441911325
2023,BabAlMandeb,43059414.32782839
2023,Dover,764176166.0544237
2023,Gibraltar,71573298.97756895
2023,GoodHope,243578690.4068196
2023,Hormuz,9475675.444514958
2023,Malacca,343988864.4116909
2023,Panama,123162779.37630294
2023,Suez,55558848.16995087
2024,BabAlMandeb,140648208.39495987
2024,Dover,186753187.36020723
2024,Gibraltar,27648921.55470341
2024,GoodHope,6321427.036865322
2024,Hormuz,9633617.775968771
2024,Malacca,1085278484.9691336
2024,Panama,212698761.10504785
2024,Suez,544515386.7570753
