base_year,scenario,risk_transfer_value_share,material_joint_value_share
2024,direct_partner,0.7277503349863231,0.1375050136799719
2024,integrated,0.0193214836936118,0.6274037918179284
2012,direct_partner,0.6973261795943656,0.1701725475394093
2012,integrated,0.0113822850933635,0.5111947185803257
2013,direct_partner,0.6819816270447854,0.1920271722244656
2013,integrated,0.0121000796672966,0.5858022318655423
2014,direct_partner,0.6546775405271942,0.1696511317484414
2014,integrated,0.0137135809852443,0.5376079046383445
2015,direct_partner,0.6755867201164036,0.159163566636324
2015,integrated,0.0168382139203095,0.5641688655362225
2016,direct_partner,0.7236844408414176,0.1626177925599803
2016,integrated,0.0164254394280454,0.571190463718588
2017,direct_partner,0.6954977413649156,0.1305430874244149
2017,integrated,0.0223994269391036,0.5199957725938956
2018,direct_partner,0.6992440117033103,0.1391788857186179
2018,integrated,0.0200695759459119,0.5505225046647483
2019,direct_partner,0.7439905723309498,0.122171095865543
2019,integrated,0.0225120985628818,0.5584904759399106
2020,direct_partner,0.7170898362423184,0.1104927209074819
2020,integrated,0.0046376683528668,0.5111113852710771
2021,direct_partner,0.7000129834175127,0.1303242766920067
2021,integrated,0.0266344888152427,0.4649508016023934
2022,direct_partner,0.7160568847035885,0.1359802353094083
2022,integrated,0.0223953237062287,0.5110742985525225
2023,direct_partner,0.724729787698026,0.1204395810061505
2023,integrated,0.0208390109790782,0.5790598942982511
