year,source,target,net_usd,abs_net_usd
2021,GBR,ZAF,158652054.60272294,158652054.60272294
2021,Other,RUS,-131729236.28131609,131729236.28131609
2021,Other,ZAF,-77071149.53343874,77071149.53343874
2021,Other,Other,-76029042.2836965,76029042.2836965
2021,GBR,RUS,63893467.93118979,63893467.93118979
2021,GBR,Other,43461450.47663825,43461450.47663825
2021,ZAF,ZAF,31927809.485351767,31927809.485351767
2021,FIN,Other,-17848940.629992057,17848940.629992057
2021,FIN,ZAF,-13763281.429228524,13763281.429228524
2021,Other,CHN,-13353259.19608264,13353259.19608264
2022,CAN,Other,-226515390.0912246,226515390.0912246
2022,Other,CHN,123851924.92026266,123851924.92026266
2022,Other,Other,-114389818.23485884,114389818.23485884
2022,FIN,Other,71027694.89565411,71027694.89565411
2022,ZAF,ZAF,67776752.75295523,67776752.75295523
2022,GBR,ZAF,-52768278.69900816,52768278.69900816
2022,Other,IDN,49833700.63173601,49833700.63173601
2022,FIN,IDN,44766157.0342283,44766157.0342283
2022,RUS,IDN,43873602.93262774,43873602.93262774
2022,RUS,RUS,35261708.50592369,35261708.50592369
2023,Other,IDN,319819756.0821921,319819756.0821921
2023,RUS,Other,-95624787.01128235,95624787.01128235
2023,Other,Other,88930909.70490593,88930909.70490593
2023,RUS,IDN,-82572603.2498707,82572603.2498707
2023,RUS,RUS,-75607186.45242293,75607186.45242293
2023,AUS,CHN,-51313862.7182861,51313862.7182861
2023,AUS,AUS,-47584620.7698765,47584620.7698765
2023,CAN,Other,-31754198.04132951,31754198.04132951
2023,FIN,IDN,25025439.86806716,25025439.86806716
2023,ZAF,Other,-23620607.39534162,23620607.39534162
2024,Other,IDN,188215130.1564203,188215130.1564203
2024,AUS,Other,-82936755.89853829,82936755.89853829
2024,AUS,IDN,-81259301.28772645,81259301.28772645
2024,Other,CHN,54881668.21737158,54881668.21737158
2024,CAN,Other,-51395196.03901011,51395196.03901011
2024,AUS,AUS,-50785390.70541888,50785390.70541888
2024,GBR,IDN,32292239.55274349,32292239.55274349
2024,Other,ZAF,26268027.479878124,26268027.479878124
2024,ZAF,ZAF,21447031.96039796,21447031.96039796
2024,Other,RUS,19267695.903569065,19267695.903569065
