year,source,target,net_usd,abs_net_usd
2021,Other,Other,-310217917.8298162,310217917.8298162
2021,Other,GBR,269353789.69212073,269353789.69212073
2021,NLD,FIN,-39093518.34289154,39093518.34289154
2021,Other,ZAF,38552174.90102649,38552174.90102649
2021,NLD,Other,25300784.1139988,25300784.1139988
2021,Other,FIN,10996124.853975937,10996124.853975937
2021,Other,CAN,-9544290.675650958,9544290.675650958
2021,NLD,ZAF,8606331.973743804,8606331.973743804
2021,NLD,RUS,5265392.877889699,5265392.877889699
2022,USA,CAN,-277107261.2785363,277107261.2785363
2022,USA,RUS,124865871.84353308,124865871.84353308
2022,USA,FIN,120873482.80627052,120873482.80627052
2022,IRL,ZAF,93739838.60204524,93739838.60204524
2022,Other,Other,73538512.88951996,73538512.88951996
2022,USA,ZAF,-59543779.33861247,59543779.33861247
2022,IRL,Other,-47159577.26174781,47159577.26174781
2022,USA,Other,46954384.54861069,46954384.54861069
2022,Other,GBR,-44416871.222939126,44416871.222939126
2023,Other,Other,291428394.30451274,291428394.30451274
2023,DEU,RUS,-268789965.4037918,268789965.4037918
2023,DEU,Other,199508636.48177195,199508636.48177195
2023,Other,AUS,-142056332.0283243,142056332.0283243
2023,Other,ZAF,-61543485.917797,61543485.917797
2023,Other,FIN,-53480583.51140124,53480583.51140124
2023,BEL,FIN,53139291.392938286,53139291.392938286
2023,BEL,Other,-48675588.31547091,48675588.31547091
2023,Other,CAN,-48335481.663866095,48335481.663866095
2024,NLD,AUS,-147315663.85289878,147315663.85289878
2024,NLD,Other,137712209.79169375,137712209.79169375
2024,Other,Other,129040936.35303766,129040936.35303766
2024,Other,AUS,-109773931.0460668,109773931.0460668
2024,NLD,CAN,-71648797.79725075,71648797.79725075
2024,IRL,GBR,-35988542.63019845,35988542.63019845
2024,NLD,FIN,35583519.96348353,35583519.96348353
2024,Other,FIN,-34390941.61800796,34390941.61800796
2024,NLD,ZAF,34226403.93196906,34226403.93196906
