year,node,layer,gross_usd,net_usd
2021,NLD,importer,83316872.00637726,0.0
2021,Other,importer,1144166547.9315398,-2.384185791015625e-07
2022,BEL,importer,567278865.1126266,0.0
2022,IRL,importer,489447196.05427307,-5.960464477539064e-08
2022,NLD,importer,66923933.02244901,-3.725290298461914e-09
2022,Other,importer,549607630.9400133,5.960464477539064e-08
2022,USA,importer,718239307.4076529,5.960464477539064e-08
2023,BEL,importer,155709095.414305,2.9802322387695312e-08
2023,DEU,importer,674432358.8661747,1.1920928955078125e-07
2023,Other,importer,1364254826.7119274,1.1920928955078125e-07
2024,BEL,importer,15498923.607319312,9.313225746154783e-10
2024,DEU,importer,23984111.21675964,7.450580596923828e-09
2024,IRL,importer,111928089.2632623,7.450580596923828e-09
2024,NLD,importer,509255492.7193714,5.960464477539064e-08
2024,Other,importer,1065769162.0935638,5.960464477539064e-08
2024,USA,importer,46874768.22863496,-3.3527612686157227e-08
2021,AUS,direct exporter,36626711.56856322,-2515580.7604357265
2021,CAN,direct exporter,20421496.09521015,-9544290.675650958
2021,FIN,direct exporter,51469975.28601319,-28097393.48891561
2021,GBR,direct exporter,304003287.1842087,269274799.06938
2021,Other,direct exporter,735070062.2696867,-284917133.71581745
2021,RUS,direct exporter,25226443.599921927,8641092.696669344
2021,ZAF,direct exporter,54665443.93431317,47158506.87477029
2022,AUS,direct exporter,88479891.69413899,50273531.171163455
2022,CAN,direct exporter,304362676.6035244,-284712453.02837086
2022,FIN,direct exporter,155090066.06189853,133582893.6796835
2022,GBR,direct exporter,91275156.12698224,-77147201.18697122
2022,Other,direct exporter,1367532767.9976847,67881428.37838602
2022,RUS,direct exporter,167989043.53105283,83270202.24461985
2022,ZAF,direct exporter,216767330.521733,26851598.741489302
2023,AUS,direct exporter,357681982.3583795,-97267825.69798853
2023,CAN,direct exporter,52475832.62945444,-52427953.86211253
2023,FIN,direct exporter,150714660.48366895,19883135.508403853
2023,GBR,direct exporter,31953899.1941119,-3332942.6531700417
2023,Other,direct exporter,1132988689.314159,442261442.4708138
2023,RUS,direct exporter,347746658.2229566,-260597097.9401126
2023,ZAF,direct exporter,120834558.78967722,-48518757.8258337
2024,AUS,direct exporter,275052913.2409812,-254950139.3506357
2024,CAN,direct exporter,138899265.0162687,-66009501.6633205
2024,FIN,direct exporter,125292341.67557378,2639051.637465492
2024,GBR,direct exporter,86722737.38792503,12147437.357197924
2024,Other,direct exporter,1026557994.269398,284121388.4047643
2024,RUS,direct exporter,22397399.100577984,-22147698.83476847
2024,ZAF,direct exporter,98387896.43818668,44199462.44929712
2021,AUS,inferred mine origin,52795437.60626099,16970753.00476157
2021,CHN,inferred mine origin,50134442.87525909,-11234348.259315835
2021,IDN,inferred mine origin,22953778.407271013,10297729.434244782
2021,Other,inferred mine origin,445641632.1720969,-57045542.412434965
2021,RUS,inferred mine origin,259366548.85230565,-64053175.60840733
2021,ZAF,inferred mine origin,448596604.2982081,105064583.84115157
2022,AUS,inferred mine origin,114116686.91408522,-18794330.075196102
2022,CHN,inferred mine origin,388705710.1327493,122449565.65754572
2022,IDN,inferred mine origin,244994248.60484427,136431074.80787703
2022,Other,inferred mine origin,1128137340.1848023,-294535460.05361503
2022,RUS,inferred mine origin,278793277.09699655,39032091.09155363
2022,ZAF,inferred mine origin,463511140.9692075,15417058.571834804
2023,AUS,inferred mine origin,226689326.892243,-57237338.39746986
2023,CHN,inferred mine origin,168560984.2742019,-58319003.97318368
2023,IDN,inferred mine origin,715393511.7835318,241897218.404266
2023,Other,inferred mine origin,1078724622.0813477,-49257434.26804572
2023,RUS,inferred mine origin,193763378.5516199,-78458951.17853782
2023,ZAF,inferred mine origin,48124486.33110819,1375509.4129712954
2024,AUS,inferred mine origin,107336615.40695184,-54155036.49841415
2024,CHN,inferred mine origin,231500715.75011143,41346038.13313332
2024,IDN,inferred mine origin,561588147.5505328,150877844.36272573
2024,Other,inferred mine origin,953592845.3936682,-153715257.30852008
2024,RUS,inferred mine origin,101287147.80039193,-2290304.989766225
2024,ZAF,inferred mine origin,117631379.48233098,17936716.30084157
